"","origin_airport","destination_airport","flights"
"1","ATL","ORD",7677
"2","ATL","DFW",9847
"3","ATL","DEN",5726
"4","ATL","LAX",5406
"5","ATL","PHX",4603
"6","ATL","IAH",5268
"7","ATL","LAS",4766
"8","ATL","DTW",5612
"9","ATL","SFO",3462
"10","ATL","SLC",2860
"11","ATL","EWR",8028
"12","ATL","MCO",9613
"13","ATL","MSP",5368
"14","ATL","CLT",6720
"15","ORD","ATL",7449
"16","ORD","DFW",8093
"17","ORD","DEN",5773
"18","ORD","LAX",6974
"19","ORD","PHX",5124
"20","ORD","IAH",5463
"21","ORD","LAS",5257
"22","ORD","DTW",7602
"23","ORD","SFO",5524
"24","ORD","SLC",2860
"25","ORD","EWR",7174
"26","ORD","MCO",3798
"27","ORD","MSP",9688
"28","ORD","CLT",6013
"29","DFW","ATL",9849
"30","DFW","ORD",8165
"31","DFW","DEN",8193
"32","DFW","LAX",6571
"33","DFW","PHX",5388
"34","DFW","IAH",5526
"35","DFW","LAS",4956
"36","DFW","DTW",2792
"37","DFW","SFO",3486
"38","DFW","SLC",3143
"39","DFW","EWR",3728
"40","DFW","MCO",4114
"41","DFW","MSP",2810
"42","DFW","CLT",3797
"43","DEN","ATL",5903
"44","DEN","ORD",6051
"45","DEN","DFW",8268
"46","DEN","LAX",8811
"47","DEN","PHX",8391
"48","DEN","IAH",4788
"49","DEN","LAS",8147
"50","DEN","DTW",2913
"51","DEN","SFO",5604
"52","DEN","SLC",8905
"53","DEN","EWR",2189
"54","DEN","MCO",3015
"55","DEN","MSP",5011
"56","DEN","CLT",1925
"57","LAX","ATL",5402
"58","LAX","ORD",7333
"59","LAX","DFW",6571
"60","LAX","DEN",8894
"61","LAX","PHX",9897
"62","LAX","IAH",3849
"63","LAX","LAS",11773
"64","LAX","DTW",1972
"65","LAX","SFO",13390
"66","LAX","SLC",5178
"67","LAX","EWR",3249
"68","LAX","MCO",1725
"69","LAX","MSP",2392
"70","LAX","CLT",1460
"71","PHX","ATL",4607
"72","PHX","ORD",5130
"73","PHX","DFW",5387
"74","PHX","DEN",8402
"75","PHX","LAX",9992
"76","PHX","IAH",4197
"77","PHX","LAS",10337
"78","PHX","DTW",2929
"79","PHX","SFO",4884
"80","PHX","SLC",7177
"81","PHX","EWR",2579
"82","PHX","MCO",1039
"83","PHX","MSP",3508
"84","PHX","CLT",2183
"85","IAH","ATL",4989
"86","IAH","ORD",5651
"87","IAH","DFW",5539
"88","IAH","DEN",4584
"89","IAH","LAX",3867
"90","IAH","PHX",4176
"91","IAH","LAS",2682
"92","IAH","DTW",2742
"93","IAH","SFO",2655
"94","IAH","SLC",2696
